topic,stance,argument,argument_sentiment
make physical education compulsory,PRO,"Introducing students to activities like bowling, walking/hiking, or Frisbee at an early age can help students develop good activity habits that will carry over into adulthood",1.0
unleash the free market,PRO,Economic and political freedom are mutually dependent,
the sale of violent video games to minors,CON,There is no compelling link between violent video games and its effects on children,1.0
the monarchy,CON,Monarchy provides a focal point for unity and tradition,1.0
multiculturalism,PRO,diversity brings progress and social cohesion,1.0
partial birth abortions,CON,A state's ban on partial birth abortion is unconstitutional,-1.0
the use of affirmative action,CON,Affirmative action is often contested on constitutional grounds,-1.0
congressional earmarks,CON,"In an already flawed system, earmarks can at least allow residents of Congressional districts to have a greater role in allocating federal funds",1.0
partial birth abortions,PRO,the state has an interest in preserving fetal life,1.0
Holocaust denial,PRO,Denial is among the surest indicators of further genocidal massacres,-1.0
housewives should be paid for their work,CON,Women's jobs in the home are not part of any market,-1.0
wind power,PRO,wind power produces a net decrease in greenhouse gas emissions and air pollution,1.0
blasphemy,CON,freedom of speech cannot be compromised,1.0
advertising,PRO,marketing promotes consumerism and waste,-1.0
only teach abstinence for sex education in schools,PRO,Abstinence is the most effective preventative measure against both pregnancy and sexually transmitted diseases,1.0
build hydroelectric dams,PRO,Renewable energy technologies are essential contributors to sustainable energy,1.0
Israel's 2008-2009 military operations against Gaza,PRO,Life in the south under rocket barrages had become unbearable,-1.0
advertising,PRO,The advertising of certain products may strongly offend some people,-1.0
the blockade of Gaza,PRO,The blockade constitutes collective punishment under international law,-1.0
the sale of violent video games to minors,CON,"parents should make the decision” about what video games they purchase for their children, and what constitutes “too violent",
advertising,PRO,advertisement images disempower and objectify the consumer,-1.0
gambling,PRO,gambling is a type of regressive tax on the individuals,-1.0
unleash the free market,PRO,"if everyone is left to their own economic devices instead of being controlled by the state, then the result would be a harmonious and more equal society",1.0
advertising,PRO,advertising directed at young children is per se manipulative,-1.0
implement playoffs in collegiate level American football,CON,"Implementation of a playoff system would lead to other, more serious consequences",-1.0
gambling,CON,gambling in some form or another has been seen in almost every society in history,1.0
the sale of violent video games to minors,CON,video games have many healthy and positive aspects,1.0
the creation of private universities in the UK,PRO,governments have few incentives to ensure that the enterprises they own are well run,-1.0
partial birth abortions,PRO,the embryo has a right to life,1.0
governments should choose open source software,PRO,"The ""open-source"" model can act as a driver of sustainable development",1.0
the blockade of Gaza,PRO,The blockade is possibly a crime against humanity,-1.0
the blockade of Gaza,CON,Israel's blockade of the Gaza Strip was determined to be legal,1.0
wind power,CON,Many find wind turbines to not be very aesthetically pleasing and consider them to be an eyesore,-1.0
the right to asylum,PRO,Immigrants can swamp a native population and replace its culture with their own,-1.0
the one-child policy of the republic of China,CON,Parents have a basic right to decide freely and responsibly on the number and spacing of their children,1.0
only teach abstinence for sex education in schools,CON,abstinence-only sex education distorts information about contraceptives,-1.0
the one-child policy of the republic of China,PRO,"As a result of the one child policy, China successfully achieved its goal of a more stable and much-reduced fertility rate",1.0
make physical education compulsory,PRO,To stay healthy it is important to engage in physical activity,1.0
democratic governments should require voters to present photo identification at the polling station,CON,Procedures for acquiring an ID are too burdensome and costly for some low income or elderly voters,-1.0
unleash the free market,PRO,Government intervention is seen as harmful,-1.0
the sale of violent video games to minors,PRO,violent video games can increase children's aggression,-1.0
partial birth abortions,PRO,Critics consider the IDX procedure to be infanticide,-1.0
multiculturalism,CON,multicultural education may cause abandonment of original cultural,-1.0
endangered species,PRO,Biodiversity supports many ecosystem services,1.0
